ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City
1042.0,TOYOTA,CELICA,CELICA 1600 GT DOHC,1600 GT DOHC,TOYOTA CELICA 1600 GT DOHC,null,1981,2,beige,null,10,5,null,1588,Oldtimer,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,79300,107,Coupé,Benzin,Zuzwil
1043.0,VW,PHAETON,Phaeton 6.0 W12 4Motion,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,G,2002,4,grau,374 g/km,11,4,15.6 l/100km,5998,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,31300,420,Limousine,Benzin,Zuzwil
1044.0,FERRARI,F430,F430 Scuderia,F430 Scuderia,FERRARI F430 Scuderia,G,2008,2,schwarz,360 g/km,3,2,15.7 l/100km,4308,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,19999,506,Coupé,Benzin,Zuzwil
1045.0,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,null,1992,4,null,null,4,5,null,2497,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,152000,195,Limousine,Benzin,Zuzwil
1046.0,BMW,750,750i,750i,BMW 750i,null,1997,4,schwarz,327 g/km,3,5,14.2 l/100km,5379,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,69600,327,Limousine,Benzin,Zuzwil
1047.0,PORSCHE,911,911 Carrera S,911 Carrera S,PORSCHE 911 Carrera S,G,2005,2,schwarz,277 g/km,8,4,11.5 l/100km,3824,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,39400,355,Coupé,Benzin,Zuzwil
1048.0,FERRARI,MONDIAL,Mondial 3.4 T,Mondial 3.4 T,FERRARI Mondial 3.4 T,null,1992,2,null,null,5,4,null,3402,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,16500,286,Coupé,Benzin,Zuzwil
1049.0,BMW,X5,X5 4.4i,X5 4.4i,BMW X5 4.4i,G,2002,5,beige,335 g/km,3,5,13.9 l/100km,4398,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,60100,286,SUV / Geländewagen,Benzin,Zuzwil
105.0,FERRARI,F12,F12 Berlinetta,F12 Berlinetta,FERRARI F12 Berlinetta,G,2013,3,braun,350 g/km,1,2,15.0 l/100km,6262,Occasion,"""Direkt-/Parallelimport""",blau mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,12000,736,Coupé,Benzin,Zuzwil
1050.0,FORD,ESCORT,ESCORT RS 2000,RS 2000,FORD ESCORT RS 2000,null,1978,3,schwarz,null,3,5,null,1993,Occasion,null,silber mét.,Hinterradantrieb,Schaltgetriebe,96600,110,Coupé,Benzin,Zuzwil
1051.0,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,G,1999,2,null,274 g/km,8,2,11.5 l/100km,3199,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,83600,224,Cabriolet,Benzin,Zuzwil
