carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2003,Automat,kilometer,Cl 600,CL 600,,car,,9,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Renault,1988,98600,kilometer,Alpine,Alpine V6 Turbo,,car,,4,
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2013,10400,kilometer,Cls 500,CLS 500,,car,,5,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,15800,kilometer,Cls 63 Amg,CLS 63 AMG,,car,,9,l/100km
SUV,White,Vorführmodell,CHF,,Zuzwil,CH,Hummer,2008,150,kilometer,H3,H3 3.7 Adventure,,car,,11,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,2004,54000,kilometer,Phantom,Phantom 6.7 V12,,car,,11,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Porsche,2008,73500,kilometer,911,911 Turbo,,car,,2,l/100km
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Ford (Usa),1999,50100,kilometer,Explorer,Explorer 4.0 Ltd. Edition,,car,,9,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Renault,1971,31800,kilometer,Alpine A110,1300 VC Gordini,,car,,3,
Coupé,White,Occasion,CHF,,Zuzwil,CH,Porsche,2001,30100,kilometer,911,911 Turbo,,car,,10,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2010,15000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,1,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Bentley,2004,79700,kilometer,Continental,Continental GT 6.0,,car,,7,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Ferrari,2003,39000,kilometer,575M,575M,,car,,4,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1991,197800,kilometer,Sl 500,SL 500,,car,,1,
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mazda,2007,6900,kilometer,Mx-5,MX-5 1.8i 16V Confort,,car,,3,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2009,31500,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,1,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Peugeot,1984,58950,kilometer,205,Turbo 16V,,car,,11,
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,1996,143700,kilometer,A8,A8 4.2 quattro,,car,,3,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1991,91600,kilometer,500,500 SE,,car,,8,
Other,White,Occasion,CHF,,Zuzwil,CH,BMW,2009,110600,kilometer,320,320d xDrive M-Sportpaket,,car,,2,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,BMW,1998,34400,kilometer,728,728i,,car,,11,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Jaguar,1996,25000,kilometer,Xj 220,null,,car,,5,
SUV,White,Occasion,CHF,,Zuzwil,CH,Porsche,2012,1000,kilometer,Cayenne,Cayenne S,,car,,6,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,2004,56000,kilometer,Phantom,Phantom 6.7 V12,,car,,1,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Bentley,2006,43000,kilometer,Continental,Continental FlyingSpur6.0,,car,,1,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2010,37500,kilometer,Cls 63 Amg,CLS 63 AMG,,car,,8,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Renault,2004,145000,kilometer,Espace,Espace 2.0 T Privilège,,car,,3,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Jaguar,1999,103000,kilometer,Xk,XKR S/C,,car,,11,l/100km
Other,White,Oldtimer,CHF,,Safenwil,CH,Mini,1976,44300,kilometer,Mini,1000,,car,,7,
