carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Black,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,1983,99300,kilometer,Silver Spirit,Mk. I,,car,,4,
Coupé,Black,Neu,CHF,,Zuzwil,CH,Mclaren,2012,55,kilometer,12C,MP4-12C 3.8 V8,,car,,6,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2008,18200,kilometer,Cayenne,Cayenne Turbo,,car,,4,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Land Rover,2010,15000,kilometer,Range Rover Sport,Range Rover Sport 5.0 V8 SC,,car,,9,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,51000,kilometer,S 500,S 500,,car,,10,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,34500,kilometer,Sl 55 Amg,SL 55 AMG,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,1999,19900,kilometer,A8,A8 3.7,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,65400,kilometer,600-Series,611 DS,,car,,4,
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2013,Automatisiertes Schaltgetriebe,kilometer,Rs4,RS4 Avant 4.2 FSI quattro,,car,,3,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Renault,1976,60000,kilometer,Alpine A110,1600 SX,,car,,7,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,35800,kilometer,Cl 63 Amg,CL 63 AMG FAB DESIGN,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2001,72600,kilometer,Rs4,RS4 Avant quattro,,car,,2,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,31200,kilometer,Sl 55 Amg,SL 55 AMG,,car,,4,l/100km
Coupé,Black,Neu,CHF,,Zuzwil,CH,Lotus,2002,150,kilometer,Esprit,Esprit 3.5 V8 SE,,car,,6,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2008,16500,kilometer,Cayenne,Cayenne Turbo,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Renault,1972,14873,kilometer,R12,Gordini,,car,,4,
Other,Black,Occasion,CHF,,Zuzwil,CH,Toyota,1981,26900,kilometer,Dyna,Bergungsfahrzeug,,car,,1,
Coupé,Black,Occasion,CHF,,St. Gallen,CH,Lamborghini,2014,1700,kilometer,Gallardo,GallardoLP570-4CpéTecnica,,car,,9,l/100km
Other,Other,Occasion,CHF,,Diesel,CH,VW,2008,Automat,kilometer,Touareg,Touareg R50 V10,,car,,4,l/100km
Convertible / Roadster,Black,Vorführmodell,CHF,,Zuzwil,CH,Mercedes-Benz,2007,300,kilometer,Slk 200,SLK 200 Kompressor,,car,,10,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Bentley,1999,44600,kilometer,Arnage,Arnage Green Label,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2002,316200,kilometer,S3,S3 quattro,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Chrysler,1996,20000,kilometer,Viper,Viper RT/10,,car,,4,
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2012,Automat sequentiell,kilometer,Slk 55 Amg,SLK 55 AMG,,car,,9,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2005,84000,kilometer,Continental,Continental GT 6.0,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,125600,kilometer,Sl 500,SL 500,,car,,7,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Lotus,2001,75100,kilometer,Elise,Elise,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2006,10600,kilometer,Quattroporte,Quattroporte 4.2,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,108100,kilometer,Sl 600,SL 600,,car,,9,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,51000,kilometer,Sl 500,SL 500 Edition,,car,,4,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Hyundai,2007,26900,kilometer,Coupé,Coupé 2.7 24V FX,,car,,4,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,120900,kilometer,Cls 500,CLS 500,,car,,11,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Opel,2004,9000,kilometer,Speedster,Speedster 2.2 16V,,car,,6,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,16000,kilometer,Ml 430,ML 430,,car,,4,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,15300,kilometer,Sl 65 Amg,SL 65 AMG,,car,,3,l/100km
Coupé,Black,Neu,CHF,,Zuzwil,CH,Porsche,2014,100,kilometer,911,911 GT3,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Nissan,2002,15000,kilometer,Skyline,Rennwagen,,car,,1,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2008,36900,kilometer,Continental,Continental GT Speed 6.0,,car,,5,l/100km
SUV,Black,Neu,CHF,,Zuzwil,CH,Mercedes-Benz,2007,1,kilometer,Ml 500,ML 500 4Matic,,car,,3,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2003,23100,kilometer,575M,575M,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,39900,kilometer,E 63 Amg,E 63 AMG Avantgarde,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,48300,kilometer,Cl 65 Amg,CL 65 AMG,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2005,142000,kilometer,Continental,Continental GT 6.0,,car,,5,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,26400,kilometer,Slr,McLaren Coupé,,car,,1,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1994,41700,kilometer,911,911 Turbo,,car,,4,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Audi,2006,34650,kilometer,Rs4,RS4 Cabriolet 4.2 quattro,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1999,56400,kilometer,166,166 3.0 V6 24V Super,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,1997,99400,kilometer,3 Series,B3 3.2 Coupé S.Tronic,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1978,222300,kilometer,Alpine,Alpine A310 V6,,car,,7,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2003,85200,kilometer,911,911 Turbo,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1996,141000,kilometer,540,540i,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Matra,1979,52000,kilometer,,SIMCA Bagheera Serie II,,car,,2,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,1996,52800,kilometer,456,456 GTA,,car,,12,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2003,13500,kilometer,Murciélago,Murciélago 6.2 Coupé,,car,,6,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,2001,62900,kilometer,911,911 Turbo,,car,,11,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1973,40700,kilometer,Alpine A110,1600 SC,,car,,8,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2001,59500,kilometer,911,911 Turbo,,car,,1,l/100km
Other,Black,Vorführmodell,CHF,,Zuzwil,CH,BMW,1997,112300,kilometer,523,523i Touring,,car,,9,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2008,5000,kilometer,F430,Challenge GT3 LOOK,,car,,6,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1996,65000,kilometer,740,740i,,car,,12,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,BMW,2012,Automatisiertes Schaltgetriebe,kilometer,M6,M6,,car,,10,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2008,35500,kilometer,911,911 Turbo Cabrio,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,72000,kilometer,550,550i Touring,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2001,21700,kilometer,Arnage,Arnage Red Label,,car,,7,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Jeep,1996,126200,kilometer,Grand Cherokee,Grand Cherokee 4.0 Ltd.,,car,,12,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Jaguar,2007,74000,kilometer,Xj,XJ8 4.2 V8 Sovereign,,car,,11,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,1990,47100,kilometer,Corniche,III,,car,,6,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2011,23000,kilometer,Sls 63,SLS 63 AMG,,car,,7,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,8900,kilometer,Sl 320,SL 320,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Dodge,2006,41000,kilometer,Ram,SRT-10,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2000,51800,kilometer,Rs4,RS4 Avant quattro,,car,,11,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2003,21800,kilometer,X5,X5 4.6is,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Porrentruy,CH,Lamborghini,1999,45700,kilometer,Diablo,Diablo 5.7 SV,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Fiat,1978,115100,kilometer,Spider,CSA,,car,,7,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2012,12000,kilometer,M5,M5,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2009,76200,kilometer,Continental,Continental GTC 6.0,,car,,6,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lamborghini,1993,26800,kilometer,Diablo,Diablo 5.7,,car,,3,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,500,kilometer,,CLK DTM AMG Cabriolet,,car,,6,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2010,13200,kilometer,S 63 Amg,S 63 AMG,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2009,45000,kilometer,Granturismo,GranTurismo S,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2009,9500,kilometer,Murciélago,Murciélago LP670-4 SV Cpé,,car,,7,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Jaguar,2000,107100,kilometer,Xk,XKR S/C Convertible,,car,,4,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2004,36700,kilometer,Gallardo,Gallardo 5.0 V10 Coupé,,car,,7,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2000,Automatik-Getriebe,kilometer,,CL 5.8 BRABUS,,car,,1,
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2002,32900,kilometer,X5,X5 4.6is,,car,,8,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,33613,kilometer,Sl 65 Amg,SL 65 AMG,,car,,9,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2013,6000,kilometer,Rs6,RS6 Avant 4.0 TFSI V8 qu,,car,,3,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1984,75000,kilometer,Gtv,GTV 6 2.5,,car,,8,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Land Rover,1995,46500,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,12,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2002,36000,kilometer,Arnage,Arnage T,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,64100,kilometer,C 43 Amg,C 43 AMG Sport,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2003,59000,kilometer,Rs6,RS6 Avant quattro,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1998,26000,kilometer,911,911 Carrera,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Fiat,1980,80000,kilometer,131,Racing / Sport,,car,,5,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2006,30600,kilometer,911,911 Carrera 4S Cabrio,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,32500,kilometer,Sl 55 Amg,SL 55 AMG,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1978,90000,kilometer,Alpine A110,Modell 1400 FASA,,car,,7,
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2001,Schaltgetriebe,kilometer,911,GTR (GT3),,car,,4,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1996,78000,kilometer,911,911 Carrera Cabrio,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2004,27650,kilometer,F360,F360 Challenge stradale,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,77000,kilometer,Cls 55 Amg,CLS 55 AMG,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,89200,kilometer,E 240,E 240 Elégance,,car,,4,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,BMW,1982,64700,kilometer,323,E21,,car,,9,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2004,75600,kilometer,911,911 Carrera 4 S Cabrio,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2007,46500,kilometer,911,911 Turbo Cabrio,,car,,9,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Land Rover,1995,70400,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,11,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,123400,kilometer,Slk 32 Amg,SLK 32 AMG,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,2012,19100,kilometer,5 Series,B5 BiTurbo 4.4 V8,,car,,5,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,1997,55000,kilometer,Diablo,Diablo 5.7,,car,,4,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,2010,26800,kilometer,Panamera,Panamera Turbo 4.8,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2002,21400,kilometer,Rs6,RS6 Avant quattro,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,162000,kilometer,320,320d Touring,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1974,82600,kilometer,2002,Turbo,,car,,7,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1983,111990,kilometer,Alpine,Alpine A310 V6,,car,,9,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,30400,kilometer,Sl 500,SL 500,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2000,77600,kilometer,911,911 Carrera,,car,,9,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2002,23800,kilometer,X5,X5 4.6is,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2013,4600,kilometer,M5,M5,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2008,48200,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,11,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2002,23200,kilometer,Coupé Gt,Coupé GT,,car,,10,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,19999,kilometer,Sl 63 Amg,SL 63 AMG,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2003,41100,kilometer,Rs6,RS6 Avant quattro,,car,,6,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,45200,kilometer,Sl 55 Amg,SL 55 AMG,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2010,110800,kilometer,S 350,S 350 L 4Matic,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2002,101900,kilometer,A4,A4 Avant 3.0 V6,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,VW,2008,71700,kilometer,Touran,Touran 1.4 TSI Trend,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,125000,kilometer,S 600,S 600 L,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1973,129800,kilometer,3.0,CSL,,car,,1,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2005,36000,kilometer,612,612,,car,,4,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,49600,kilometer,G 55 Amg,G 55 AMG,,car,,1,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Kaiser,1966,18000,kilometer,,CJ-5 12V ARMEEFAHRZEUG,,car,,9,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,37000,kilometer,Sl 600,SL 600,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,73700,kilometer,S 320,S 320,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,39800,kilometer,Sl 500,SL 500,,car,,8,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,47900,kilometer,Sl 500,SL 500,,car,,4,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Lotus,2005,16000,kilometer,,HKT Seven GTS,,car,,5,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Talbot,1982,40100,kilometer,,Sunbeam Lotus,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,Saab,2002,117100,kilometer,9-5,9-5 2.3T Aero,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Audi,2009,26500,kilometer,R8,R8 Coupé 5.2,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Lincoln,2002,119600,kilometer,Continental,null,,car,,2,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Maserati,1996,40600,kilometer,Ghibli,Ghibli 2.8 GT,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,74500,kilometer,S 500,S 500 L,,car,,5,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Aston Martin,2005,31800,kilometer,Db9,DB9 Volante,,car,,11,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Lancia,1995,68000,kilometer,Delta,Integrale EVO,,car,,2,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2002,125900,kilometer,525,525i,,car,,2,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2012,66800,kilometer,M6,M6,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,45000,kilometer,Clk 63 Amg,CLK 63 AMG Black Series,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1993,128200,kilometer,911,Turbo ll 3.6,,car,,10,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,58000,kilometer,S 320,S 320,,car,,8,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1984,63500,kilometer,911,911 Turbo,,car,,3,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Honda,1998,186000,kilometer,Accord,Accord Coupé V6 3.0i VTEC,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Audi,2011,31750,kilometer,Rs5,RS5 Coupé 4.2FSI quattro,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2010,680,kilometer,458,458 Italia 4.5 V8,,car,,10,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,1988,73800,kilometer,Silver Spur,null,,car,,9,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Nsu,1971,75000,kilometer,,TTS,,car,,7,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Jaguar,2009,49500,kilometer,Xk,XKR 5.0 V8 SC,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2012,82000,kilometer,535,535d xDrive,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2002,Schaltgetriebe manuell,kilometer,911,911 GT2,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,8000,kilometer,Sl 500,SL 500,,car,,5,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2016,2100,kilometer,Huracan,Huracan LP610-4 Coupé,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,500,kilometer,C 63 Amg,BLACK SERIES,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1999,18300,kilometer,740,740iL,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2000,Schaltgetriebe,kilometer,911,GT3 CUP,,car,,5,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,2004,113800,kilometer,612,612,,car,,7,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,1995,49900,kilometer,328,328i A Cabrio,,car,,8,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Toyota,1976,38700,kilometer,Celica,2000GT,,car,,11,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1995,134100,kilometer,911,911 Carrera 4,,car,,2,
Other,Black,Occasion,CHF,,Zuzwil,CH,Lancia,1993,131000,kilometer,Delta,Delta HF Integrale Evo 4V,,car,,12,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Toyota,1979,240500,kilometer,Land Cruiser,BJ 40 LT,,car,,7,
Other,Other,Occasion,CHF,,Benzin,CH,Maserati,2006,Automatisiertes Schaltgetriebe,kilometer,Coupé Gt,Coupé GT,,car,,9,l/100km
,Black,Occasion,CHF,,Zuzwil,CH,Harley-Davidson,2006,100,kilometer,,HPU Hurricane TC,,car,,4,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Land Rover,1994,87000,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,11,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,43000,kilometer,Cl 65 Amg,CL 65 AMG,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,96400,kilometer,Sl 600,SL 600,,car,,3,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,BMW,1979,157400,kilometer,,323 i E21,,car,,5,
Other,Other,Occasion,CHF,,Benzin,CH,Maserati,2009,Automat sequentiell,kilometer,Granturismo,GranTurismo,,car,,12,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,15100,kilometer,Cl 500,CL 500,,car,,9,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Smart,2003,165000,kilometer,Fortwo,Fortwo passion,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2000,211000,kilometer,S6,S6 Avant quattro,,car,,10,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2000,80000,kilometer,911,911 Turbo,,car,,10,l/100km
Other,Black,Neu,CHF,,Zuzwil,CH,Mercedes-Benz,2006,500,kilometer,R 500,R 500 4Matic,,car,,1,l/100km
Convertible / Roadster,Black,Oldtimer,CHF,,Basel,CH,Rolls-Royce,1982,70000,kilometer,Corniche,Convertible,,car,,1,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,1999,35100,kilometer,911,911 Carrera 4,,car,,4,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Lancia,1994,130300,kilometer,Delta,Delta HF Integrale Evo 4V,,car,,1,
Other,Silver,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1972,79380,kilometer,Gt,1300 Junior,,car,,6,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Ferrari,2010,28900,kilometer,599,599 GTB HGTE,,car,,4,l/100km
Coupé,Silver,Oldtimer,CHF,,Sursee,CH,Ferrari,1970,8000,kilometer,365,Daytona Plexiglas,,car,,9,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,1995,78000,kilometer,F355,F355 Berlinetta,,car,,5,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Renault,1984,78000,kilometer,Alpine,Alpine A310 V6 VFA-2700 VAA,,car,,5,
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,147400,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,2,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,62500,kilometer,C 280,C 280 Elégance,,car,,6,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,2003,144200,kilometer,Rs6,RS6 Avant quattro,,car,,2,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,1998,57000,kilometer,S8,S8 4.2 quattro,,car,,1,l/100km
SUV,Silver,Occasion,CHF,,Zuzwil,CH,VW,2003,117800,kilometer,Touareg,Touareg 5.0 TDI V10,,car,,11,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Nissan,1990,162900,kilometer,200 Sx,200 SX 1.8 16V Turbo,,car,,6,
Coupé,Silver,Vorführmodell,CHF,,Zuzwil,CH,Ferrari,2008,26000,kilometer,599,599 GTB,,car,,4,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,1991,101300,kilometer,911,911 Turbo II,,car,,8,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2009,34000,kilometer,Sl 65 Amg,BLACK SERIES,,car,,7,
